Language_ID,Parameter_ID,Value
Pure Fiji English (basilectal FijiE),Singular it for plural they in anaphoric use,D
Bislama,Singular it for plural they in anaphoric use,D
Tok Pisin,Singular it for plural they in anaphoric use,X
Hawaiʼi Creole,Singular it for plural they in anaphoric use,D
Falkland Islands English,Singular it for plural they in anaphoric use,D
St. Helena English,Singular it for plural they in anaphoric use,D
Tristan da Cunha English,Singular it for plural they in anaphoric use,D
Philippine English,Singular it for plural they in anaphoric use,B
Cape Flats English,Singular it for plural they in anaphoric use,B
Orkney and Shetland English,Object pronoun drop,D
Scottish English,Object pronoun drop,D
Irish English,Object pronoun drop,D
Manx English,Object pronoun drop,D
Welsh English,Object pronoun drop,D
English dialects in the North of England,Object pronoun drop,D
English dialects in the Southwest of England,Object pronoun drop,?
East Anglian English,Object pronoun drop,D
English dialects in the Southeast of England,Object pronoun drop,?
Channel Islands English,Object pronoun drop,D
British Creole,Object pronoun drop,D
Maltese English,Object pronoun drop,A
Newfoundland English,Object pronoun drop,D
Colloquial American English,Object pronoun drop,D
Urban African American Vernacular English,Object pronoun drop,D
Rural African American Vernacular English,Object pronoun drop,D
Earlier African American Vernacular English,Object pronoun drop,D
Ozark English,Object pronoun drop,D
Appalachian English,Object pronoun drop,D
Southeast American enclave dialects,Object pronoun drop,D
Gullah,Object pronoun drop,C
Chicano English,Object pronoun drop,?
Bahamian English,Object pronoun drop,C
Bahamian Creole,Object pronoun drop,D
Barbadian Creole (Bajan),Object pronoun drop,D
Jamaican English,Object pronoun drop,D
Jamaican Creole,Object pronoun drop,D
San Andrés Creole,Object pronoun drop,D
Belizean Creole,Object pronoun drop,C
Guyanese Creole (Creolese),Object pronoun drop,D
Eastern Maroon Creole,Object pronoun drop,X
Saramaccan,Object pronoun drop,D
Sranan,Object pronoun drop,D
Trinidadian Creole,Object pronoun drop,D
Vincentian Creole,Object pronoun drop,D
Krio (Sierra Leone Creole),Object pronoun drop,D
Liberian Settler English,Object pronoun drop,D
Vernacular Liberian English,Object pronoun drop,C
Ghanaian English,Object pronoun drop,C
Ghanaian Pidgin,Object pronoun drop,D
Nigerian English,Object pronoun drop,D
Nigerian Pidgin,Object pronoun drop,D
Cameroon English,Object pronoun drop,D
Cameroon Pidgin,Object pronoun drop,?
Tanzanian English,Object pronoun drop,X
Kenyan English,Object pronoun drop,A
Ugandan English,Object pronoun drop,D
White Zimbabwean English,Object pronoun drop,D
Black South African English,Object pronoun drop,C
Indian South African English,Object pronoun drop,C
White South African English,Object pronoun drop,B
Indian English,Object pronoun drop,A
Pakistani English,Object pronoun drop,B
Butler English,Object pronoun drop,B
Sri Lankan English,Object pronoun drop,B
Hong Kong English,Object pronoun drop,A
Colloquial Singapore English (Singlish),Object pronoun drop,A
Malaysian English,Object pronoun drop,A
Australian English,Object pronoun drop,X
Australian Vernacular English,Object pronoun drop,X
Aboriginal English,Object pronoun drop,B
Roper River Creole (Kriol),Object pronoun drop,A
Torres Strait Creole,Object pronoun drop,?
New Zealand English,Object pronoun drop,D
Norfolk Island/ Pitcairn English,Object pronoun drop,B
Palmerston English,Object pronoun drop,B
Acrolectal Fiji English,Object pronoun drop,X
Pure Fiji English (basilectal FijiE),Object pronoun drop,A
Bislama,Object pronoun drop,B
Tok Pisin,Object pronoun drop,A
Hawaiʼi Creole,Object pronoun drop,B
Falkland Islands English,Object pronoun drop,D
St. Helena English,Object pronoun drop,B
Tristan da Cunha English,Object pronoun drop,D
Philippine English,Object pronoun drop,B
Cape Flats English,Object pronoun drop,B
Orkney and Shetland English,Subject pronoun drop: referential pronouns,D
Scottish English,Subject pronoun drop: referential pronouns,B
Irish English,Subject pronoun drop: referential pronouns,B
Manx English,Subject pronoun drop: referential pronouns,D
Welsh English,Subject pronoun drop: referential pronouns,D
English dialects in the North of England,Subject pronoun drop: referential pronouns,C
English dialects in the Southwest of England,Subject pronoun drop: referential pronouns,?
East Anglian English,Subject pronoun drop: referential pronouns,D
English dialects in the Southeast of England,Subject pronoun drop: referential pronouns,?
Channel Islands English,Subject pronoun drop: referential pronouns,C
British Creole,Subject pronoun drop: referential pronouns,D
Maltese English,Subject pronoun drop: referential pronouns,A
Newfoundland English,Subject pronoun drop: referential pronouns,B
Colloquial American English,Subject pronoun drop: referential pronouns,D
Urban African American Vernacular English,Subject pronoun drop: referential pronouns,C
Rural African American Vernacular English,Subject pronoun drop: referential pronouns,D
Earlier African American Vernacular English,Subject pronoun drop: referential pronouns,C
Ozark English,Subject pronoun drop: referential pronouns,D
Appalachian English,Subject pronoun drop: referential pronouns,D
Southeast American enclave dialects,Subject pronoun drop: referential pronouns,D
Gullah,Subject pronoun drop: referential pronouns,A
Chicano English,Subject pronoun drop: referential pronouns,C
Bahamian English,Subject pronoun drop: referential pronouns,B
Bahamian Creole,Subject pronoun drop: referential pronouns,C
Barbadian Creole (Bajan),Subject pronoun drop: referential pronouns,D
Jamaican English,Subject pronoun drop: referential pronouns,D
Jamaican Creole,Subject pronoun drop: referential pronouns,B
San Andrés Creole,Subject pronoun drop: referential pronouns,C
Belizean Creole,Subject pronoun drop: referential pronouns,C
Guyanese Creole (Creolese),Subject pronoun drop: referential pronouns,B
Eastern Maroon Creole,Subject pronoun drop: referential pronouns,X
Saramaccan,Subject pronoun drop: referential pronouns,D
Sranan,Subject pronoun drop: referential pronouns,D
Trinidadian Creole,Subject pronoun drop: referential pronouns,D
Vincentian Creole,Subject pronoun drop: referential pronouns,C
Krio (Sierra Leone Creole),Subject pronoun drop: referential pronouns,D
Liberian Settler English,Subject pronoun drop: referential pronouns,D
Vernacular Liberian English,Subject pronoun drop: referential pronouns,C
Ghanaian English,Subject pronoun drop: referential pronouns,D
Ghanaian Pidgin,Subject pronoun drop: referential pronouns,D
Nigerian English,Subject pronoun drop: referential pronouns,D
Nigerian Pidgin,Subject pronoun drop: referential pronouns,D
Cameroon English,Subject pronoun drop: referential pronouns,D
Cameroon Pidgin,Subject pronoun drop: referential pronouns,D
Tanzanian English,Subject pronoun drop: referential pronouns,X
Kenyan English,Subject pronoun drop: referential pronouns,?
Ugandan English,Subject pronoun drop: referential pronouns,C
White Zimbabwean English,Subject pronoun drop: referential pronouns,?
Black South African English,Subject pronoun drop: referential pronouns,D
Indian South African English,Subject pronoun drop: referential pronouns,B
White South African English,Subject pronoun drop: referential pronouns,B
Indian English,Subject pronoun drop: referential pronouns,A
Pakistani English,Subject pronoun drop: referential pronouns,B
Butler English,Subject pronoun drop: referential pronouns,B
Sri Lankan English,Subject pronoun drop: referential pronouns,B
Hong Kong English,Subject pronoun drop: referential pronouns,A
Colloquial Singapore English (Singlish),Subject pronoun drop: referential pronouns,A
Malaysian English,Subject pronoun drop: referential pronouns,A
Australian English,Subject pronoun drop: referential pronouns,D
Australian Vernacular English,Subject pronoun drop: referential pronouns,X
Aboriginal English,Subject pronoun drop: referential pronouns,B
Roper River Creole (Kriol),Subject pronoun drop: referential pronouns,A
Torres Strait Creole,Subject pronoun drop: referential pronouns,A
New Zealand English,Subject pronoun drop: referential pronouns,?
Norfolk Island/ Pitcairn English,Subject pronoun drop: referential pronouns,B
Palmerston English,Subject pronoun drop: referential pronouns,B
Acrolectal Fiji English,Subject pronoun drop: referential pronouns,?
Pure Fiji English (basilectal FijiE),Subject pronoun drop: referential pronouns,B
Bislama,Subject pronoun drop: referential pronouns,B
Tok Pisin,Subject pronoun drop: referential pronouns,X
Hawaiʼi Creole,Subject pronoun drop: referential pronouns,B
Falkland Islands English,Subject pronoun drop: referential pronouns,D
St. Helena English,Subject pronoun drop: referential pronouns,D
Tristan da Cunha English,Subject pronoun drop: referential pronouns,B
Philippine English,Subject pronoun drop: referential pronouns,C
Cape Flats English,Subject pronoun drop: referential pronouns,C
Orkney and Shetland English,Subject pronoun drop: dummy pronouns,D
Scottish English,Subject pronoun drop: dummy pronouns,D
Irish English,Subject pronoun drop: dummy pronouns,C
Manx English,Subject pronoun drop: dummy pronouns,D
Welsh English,Subject pronoun drop: dummy pronouns,D
English dialects in the North of England,Subject pronoun drop: dummy pronouns,D
English dialects in the Southwest of England,Subject pronoun drop: dummy pronouns,?
East Anglian English,Subject pronoun drop: dummy pronouns,D
English dialects in the Southeast of England,Subject pronoun drop: dummy pronouns,?
Channel Islands English,Subject pronoun drop: dummy pronouns,D
British Creole,Subject pronoun drop: dummy pronouns,D
Maltese English,Subject pronoun drop: dummy pronouns,B
Newfoundland English,Subject pronoun drop: dummy pronouns,?
Colloquial American English,Subject pronoun drop: dummy pronouns,?
Urban African American Vernacular English,Subject pronoun drop: dummy pronouns,D
Rural African American Vernacular English,Subject pronoun drop: dummy pronouns,C
Earlier African American Vernacular English,Subject pronoun drop: dummy pronouns,D
Ozark English,Subject pronoun drop: dummy pronouns,D
Appalachian English,Subject pronoun drop: dummy pronouns,D
Southeast American enclave dialects,Subject pronoun drop: dummy pronouns,C
Gullah,Subject pronoun drop: dummy pronouns,A
Chicano English,Subject pronoun drop: dummy pronouns,?
Bahamian English,Subject pronoun drop: dummy pronouns,C
Bahamian Creole,Subject pronoun drop: dummy pronouns,C
Barbadian Creole (Bajan),Subject pronoun drop: dummy pronouns,D
Jamaican English,Subject pronoun drop: dummy pronouns,D
Jamaican Creole,Subject pronoun drop: dummy pronouns,?
San Andrés Creole,Subject pronoun drop: dummy pronouns,D
Belizean Creole,Subject pronoun drop: dummy pronouns,D
Guyanese Creole (Creolese),Subject pronoun drop: dummy pronouns,D
Eastern Maroon Creole,Subject pronoun drop: dummy pronouns,X
Saramaccan,Subject pronoun drop: dummy pronouns,D
Sranan,Subject pronoun drop: dummy pronouns,D
Trinidadian Creole,Subject pronoun drop: dummy pronouns,D
Vincentian Creole,Subject pronoun drop: dummy pronouns,D
Krio (Sierra Leone Creole),Subject pronoun drop: dummy pronouns,D
Liberian Settler English,Subject pronoun drop: dummy pronouns,C
Vernacular Liberian English,Subject pronoun drop: dummy pronouns,D
Ghanaian English,Subject pronoun drop: dummy pronouns,D
Ghanaian Pidgin,Subject pronoun drop: dummy pronouns,D
Nigerian English,Subject pronoun drop: dummy pronouns,D
Nigerian Pidgin,Subject pronoun drop: dummy pronouns,C
Cameroon English,Subject pronoun drop: dummy pronouns,D
Cameroon Pidgin,Subject pronoun drop: dummy pronouns,D
Tanzanian English,Subject pronoun drop: dummy pronouns,X
Kenyan English,Subject pronoun drop: dummy pronouns,?
Ugandan English,Subject pronoun drop: dummy pronouns,D
White Zimbabwean English,Subject pronoun drop: dummy pronouns,D
Black South African English,Subject pronoun drop: dummy pronouns,D
Indian South African English,Subject pronoun drop: dummy pronouns,C
White South African English,Subject pronoun drop: dummy pronouns,?
Indian English,Subject pronoun drop: dummy pronouns,A
Pakistani English,Subject pronoun drop: dummy pronouns,C
Butler English,Subject pronoun drop: dummy pronouns,B
Sri Lankan English,Subject pronoun drop: dummy pronouns,B
Hong Kong English,Subject pronoun drop: dummy pronouns,D
Colloquial Singapore English (Singlish),Subject pronoun drop: dummy pronouns,A
Malaysian English,Subject pronoun drop: dummy pronouns,A
Australian English,Subject pronoun drop: dummy pronouns,?
Australian Vernacular English,Subject pronoun drop: dummy pronouns,B
Aboriginal English,Subject pronoun drop: dummy pronouns,B
Roper River Creole (Kriol),Subject pronoun drop: dummy pronouns,A
Torres Strait Creole,Subject pronoun drop: dummy pronouns,?
New Zealand English,Subject pronoun drop: dummy pronouns,D
Norfolk Island/ Pitcairn English,Subject pronoun drop: dummy pronouns,A
Palmerston English,Subject pronoun drop: dummy pronouns,B
Acrolectal Fiji English,Subject pronoun drop: dummy pronouns,D
Pure Fiji English (basilectal FijiE),Subject pronoun drop: dummy pronouns,C
Bislama,Subject pronoun drop: dummy pronouns,A
Tok Pisin,Subject pronoun drop: dummy pronouns,X
Hawaiʼi Creole,Subject pronoun drop: dummy pronouns,A
Falkland Islands English,Subject pronoun drop: dummy pronouns,D
St. Helena English,Subject pronoun drop: dummy pronouns,C
Tristan da Cunha English,Subject pronoun drop: dummy pronouns,C
Philippine English,Subject pronoun drop: dummy pronouns,C
Cape Flats English,Subject pronoun drop: dummy pronouns,D
Orkney and Shetland English,Insertion of it where StE favours zero,?
Scottish English,Insertion of it where StE favours zero,B
Irish English,Insertion of it where StE favours zero,B
Manx English,Insertion of it where StE favours zero,D
Welsh English,Insertion of it where StE favours zero,D
English dialects in the North of England,Insertion of it where StE favours zero,D
English dialects in the Southwest of England,Insertion of it where StE favours zero,X
East Anglian English,Insertion of it where StE favours zero,D
English dialects in the Southeast of England,Insertion of it where StE favours zero,D
Channel Islands English,Insertion of it where StE favours zero,D
British Creole,Insertion of it where StE favours zero,D
Maltese English,Insertion of it where StE favours zero,B
Newfoundland English,Insertion of it where StE favours zero,B
Colloquial American English,Insertion of it where StE favours zero,X
Urban African American Vernacular English,Insertion of it where StE favours zero,C
Rural African American Vernacular English,Insertion of it where StE favours zero,C
Earlier African American Vernacular English,Insertion of it where StE favours zero,D
Ozark English,Insertion of it where StE favours zero,?
Appalachian English,Insertion of it where StE favours zero,?
Southeast American enclave dialects,Insertion of it where StE favours zero,B
Gullah,Insertion of it where StE favours zero,D
Chicano English,Insertion of it where StE favours zero,?
Bahamian English,Insertion of it where StE favours zero,D
Bahamian Creole,Insertion of it where StE favours zero,?
Barbadian Creole (Bajan),Insertion of it where StE favours zero,X
Jamaican English,Insertion of it where StE favours zero,D
Jamaican Creole,Insertion of it where StE favours zero,C
San Andrés Creole,Insertion of it where StE favours zero,D
Belizean Creole,Insertion of it where StE favours zero,B
Guyanese Creole (Creolese),Insertion of it where StE favours zero,?
Eastern Maroon Creole,Insertion of it where StE favours zero,X
Saramaccan,Insertion of it where StE favours zero,X
Sranan,Insertion of it where StE favours zero,D
Trinidadian Creole,Insertion of it where StE favours zero,D
Vincentian Creole,Insertion of it where StE favours zero,D
Krio (Sierra Leone Creole),Insertion of it where StE favours zero,D
Liberian Settler English,Insertion of it where StE favours zero,C
Vernacular Liberian English,Insertion of it where StE favours zero,C
Ghanaian English,Insertion of it where StE favours zero,C
Ghanaian Pidgin,Insertion of it where StE favours zero,D
Nigerian English,Insertion of it where StE favours zero,C
Nigerian Pidgin,Insertion of it where StE favours zero,X
Cameroon English,Insertion of it where StE favours zero,B
Cameroon Pidgin,Insertion of it where StE favours zero,D
Tanzanian English,Insertion of it where StE favours zero,A
Kenyan English,Insertion of it where StE favours zero,B
Ugandan English,Insertion of it where StE favours zero,B
White Zimbabwean English,Insertion of it where StE favours zero,A
Black South African English,Insertion of it where StE favours zero,A
Indian South African English,Insertion of it where StE favours zero,C
White South African English,Insertion of it where StE favours zero,B
Indian English,Insertion of it where StE favours zero,A
Pakistani English,Insertion of it where StE favours zero,B
Butler English,Insertion of it where StE favours zero,B
Sri Lankan English,Insertion of it where StE favours zero,C
Hong Kong English,Insertion of it where StE favours zero,A
Colloquial Singapore English (Singlish),Insertion of it where StE favours zero,C
Malaysian English,Insertion of it where StE favours zero,A
Australian English,Insertion of it where StE favours zero,?
Australian Vernacular English,Insertion of it where StE favours zero,X
Aboriginal English,Insertion of it where StE favours zero,D
Roper River Creole (Kriol),Insertion of it where StE favours zero,D
Torres Strait Creole,Insertion of it where StE favours zero,D
New Zealand English,Insertion of it where StE favours zero,?
Norfolk Island/ Pitcairn English,Insertion of it where StE favours zero,B
Palmerston English,Insertion of it where StE favours zero,?
Acrolectal Fiji English,Insertion of it where StE favours zero,B
Pure Fiji English (basilectal FijiE),Insertion of it where StE favours zero,B
Bislama,Insertion of it where StE favours zero,D
Tok Pisin,Insertion of it where StE favours zero,X
Hawaiʼi Creole,Insertion of it where StE favours zero,D
Falkland Islands English,Insertion of it where StE favours zero,D
St. Helena English,Insertion of it where StE favours zero,C
Tristan da Cunha English,Insertion of it where StE favours zero,?
Philippine English,Insertion of it where StE favours zero,A
Cape Flats English,Insertion of it where StE favours zero,D
Orkney and Shetland English,Deletion of it in referential it is-constructions,D
Scottish English,Deletion of it in referential it is-constructions,D
Irish English,Deletion of it in referential it is-constructions,D
Manx English,Deletion of it in referential it is-constructions,D
Welsh English,Deletion of it in referential it is-constructions,D
English dialects in the North of England,Deletion of it in referential it is-constructions,D
English dialects in the Southwest of England,Deletion of it in referential it is-constructions,?
East Anglian English,Deletion of it in referential it is-constructions,D
English dialects in the Southeast of England,Deletion of it in referential it is-constructions,D
Channel Islands English,Deletion of it in referential it is-constructions,D
British Creole,Deletion of it in referential it is-constructions,D
Maltese English,Deletion of it in referential it is-constructions,B
Newfoundland English,Deletion of it in referential it is-constructions,?
Colloquial American English,Deletion of it in referential it is-constructions,X
Urban African American Vernacular English,Deletion of it in referential it is-constructions,C
Rural African American Vernacular English,Deletion of it in referential it is-constructions,C
Earlier African American Vernacular English,Deletion of it in referential it is-constructions,D
Ozark English,Deletion of it in referential it is-constructions,D
Appalachian English,Deletion of it in referential it is-constructions,D
Southeast American enclave dialects,Deletion of it in referential it is-constructions,C
Gullah,Deletion of it in referential it is-constructions,B
Chicano English,Deletion of it in referential it is-constructions,?
Bahamian English,Deletion of it in referential it is-constructions,C
Bahamian Creole,Deletion of it in referential it is-constructions,C
Barbadian Creole (Bajan),Deletion of it in referential it is-constructions,A
Jamaican English,Deletion of it in referential it is-constructions,C
Jamaican Creole,Deletion of it in referential it is-constructions,B
San Andrés Creole,Deletion of it in referential it is-constructions,A
Belizean Creole,Deletion of it in referential it is-constructions,B
Guyanese Creole (Creolese),Deletion of it in referential it is-constructions,A
Eastern Maroon Creole,Deletion of it in referential it is-constructions,X
Saramaccan,Deletion of it in referential it is-constructions,D
Sranan,Deletion of it in referential it is-constructions,D
Trinidadian Creole,Deletion of it in referential it is-constructions,A
Vincentian Creole,Deletion of it in referential it is-constructions,B
Krio (Sierra Leone Creole),Deletion of it in referential it is-constructions,X
Liberian Settler English,Deletion of it in referential it is-constructions,D
Vernacular Liberian English,Deletion of it in referential it is-constructions,C
Ghanaian English,Deletion of it in referential it is-constructions,D
Ghanaian Pidgin,Deletion of it in referential it is-constructions,X
Nigerian English,Deletion of it in referential it is-constructions,C
Nigerian Pidgin,Deletion of it in referential it is-constructions,X
Cameroon English,Deletion of it in referential it is-constructions,D
Cameroon Pidgin,Deletion of it in referential it is-constructions,X
Tanzanian English,Deletion of it in referential it is-constructions,C
Kenyan English,Deletion of it in referential it is-constructions,?
Ugandan English,Deletion of it in referential it is-constructions,C
White Zimbabwean English,Deletion of it in referential it is-constructions,D
Black South African English,Deletion of it in referential it is-constructions,C
Indian South African English,Deletion of it in referential it is-constructions,D
White South African English,Deletion of it in referential it is-constructions,D
Indian English,Deletion of it in referential it is-constructions,B
Pakistani English,Deletion of it in referential it is-constructions,D
Butler English,Deletion of it in referential it is-constructions,A
Sri Lankan English,Deletion of it in referential it is-constructions,D
Hong Kong English,Deletion of it in referential it is-constructions,?
Colloquial Singapore English (Singlish),Deletion of it in referential it is-constructions,B
Malaysian English,Deletion of it in referential it is-constructions,D
Australian English,Deletion of it in referential it is-constructions,X
Australian Vernacular English,Deletion of it in referential it is-constructions,X
Aboriginal English,Deletion of it in referential it is-constructions,D
Roper River Creole (Kriol),Deletion of it in referential it is-constructions,X
Torres Strait Creole,Deletion of it in referential it is-constructions,D
New Zealand English,Deletion of it in referential it is-constructions,D
Norfolk Island/ Pitcairn English,Deletion of it in referential it is-constructions,A
Palmerston English,Deletion of it in referential it is-constructions,B
Acrolectal Fiji English,Deletion of it in referential it is-constructions,?
Pure Fiji English (basilectal FijiE),Deletion of it in referential it is-constructions,B
Bislama,Deletion of it in referential it is-constructions,B
Tok Pisin,Deletion of it in referential it is-constructions,X
Hawaiʼi Creole,Deletion of it in referential it is-constructions,X
Falkland Islands English,Deletion of it in referential it is-constructions,D
St. Helena English,Deletion of it in referential it is-constructions,A
Tristan da Cunha English,Deletion of it in referential it is-constructions,C
Philippine English,Deletion of it in referential it is-constructions,C
Cape Flats English,Deletion of it in referential it is-constructions,D
Orkney and Shetland English,Deletion of it in non-referential it is-constructions,D
Scottish English,Deletion of it in non-referential it is-constructions,D
Irish English,Deletion of it in non-referential it is-constructions,D
Manx English,Deletion of it in non-referential it is-constructions,D
Welsh English,Deletion of it in non-referential it is-constructions,D
English dialects in the North of England,Deletion of it in non-referential it is-constructions,D
English dialects in the Southwest of England,Deletion of it in non-referential it is-constructions,?
East Anglian English,Deletion of it in non-referential it is-constructions,D
English dialects in the Southeast of England,Deletion of it in non-referential it is-constructions,D
Channel Islands English,Deletion of it in non-referential it is-constructions,D
British Creole,Deletion of it in non-referential it is-constructions,D
Maltese English,Deletion of it in non-referential it is-constructions,C
Newfoundland English,Deletion of it in non-referential it is-constructions,?
Colloquial American English,Deletion of it in non-referential it is-constructions,D
Urban African American Vernacular English,Deletion of it in non-referential it is-constructions,D
Rural African American Vernacular English,Deletion of it in non-referential it is-constructions,D
Earlier African American Vernacular English,Deletion of it in non-referential it is-constructions,D
Ozark English,Deletion of it in non-referential it is-constructions,D
Appalachian English,Deletion of it in non-referential it is-constructions,D
Southeast American enclave dialects,Deletion of it in non-referential it is-constructions,C
Gullah,Deletion of it in non-referential it is-constructions,D
Chicano English,Deletion of it in non-referential it is-constructions,?
Bahamian English,Deletion of it in non-referential it is-constructions,D
Bahamian Creole,Deletion of it in non-referential it is-constructions,C
Barbadian Creole (Bajan),Deletion of it in non-referential it is-constructions,X
Jamaican English,Deletion of it in non-referential it is-constructions,D
Jamaican Creole,Deletion of it in non-referential it is-constructions,A
San Andrés Creole,Deletion of it in non-referential it is-constructions,D
Belizean Creole,Deletion of it in non-referential it is-constructions,D
Guyanese Creole (Creolese),Deletion of it in non-referential it is-constructions,A
Eastern Maroon Creole,Deletion of it in non-referential it is-constructions,X
Saramaccan,Deletion of it in non-referential it is-constructions,D
Sranan,Deletion of it in non-referential it is-constructions,X
Trinidadian Creole,Deletion of it in non-referential it is-constructions,A
Vincentian Creole,Deletion of it in non-referential it is-constructions,D
Krio (Sierra Leone Creole),Deletion of it in non-referential it is-constructions,X
Liberian Settler English,Deletion of it in non-referential it is-constructions,D
Vernacular Liberian English,Deletion of it in non-referential it is-constructions,D
Ghanaian English,Deletion of it in non-referential it is-constructions,D
Ghanaian Pidgin,Deletion of it in non-referential it is-constructions,X
Nigerian English,Deletion of it in non-referential it is-constructions,C
Nigerian Pidgin,Deletion of it in non-referential it is-constructions,X
Cameroon English,Deletion of it in non-referential it is-constructions,D
Cameroon Pidgin,Deletion of it in non-referential it is-constructions,X
Tanzanian English,Deletion of it in non-referential it is-constructions,C
Kenyan English,Deletion of it in non-referential it is-constructions,?
Ugandan English,Deletion of it in non-referential it is-constructions,C
White Zimbabwean English,Deletion of it in non-referential it is-constructions,D
Black South African English,Deletion of it in non-referential it is-constructions,C
Indian South African English,Deletion of it in non-referential it is-constructions,D
White South African English,Deletion of it in non-referential it is-constructions,D
Indian English,Deletion of it in non-referential it is-constructions,B
Pakistani English,Deletion of it in non-referential it is-constructions,D
Butler English,Deletion of it in non-referential it is-constructions,B
Sri Lankan English,Deletion of it in non-referential it is-constructions,D
Hong Kong English,Deletion of it in non-referential it is-constructions,A
Colloquial Singapore English (Singlish),Deletion of it in non-referential it is-constructions,B
Malaysian English,Deletion of it in non-referential it is-constructions,B
Australian English,Deletion of it in non-referential it is-constructions,X
Australian Vernacular English,Deletion of it in non-referential it is-constructions,X
Aboriginal English,Deletion of it in non-referential it is-constructions,D
Roper River Creole (Kriol),Deletion of it in non-referential it is-constructions,X
Torres Strait Creole,Deletion of it in non-referential it is-constructions,D
New Zealand English,Deletion of it in non-referential it is-constructions,D
Norfolk Island/ Pitcairn English,Deletion of it in non-referential it is-constructions,A
Palmerston English,Deletion of it in non-referential it is-constructions,B
Acrolectal Fiji English,Deletion of it in non-referential it is-constructions,?
Pure Fiji English (basilectal FijiE),Deletion of it in non-referential it is-constructions,B
Bislama,Deletion of it in non-referential it is-constructions,A
Tok Pisin,Deletion of it in non-referential it is-constructions,X
Hawaiʼi Creole,Deletion of it in non-referential it is-constructions,X
Falkland Islands English,Deletion of it in non-referential it is-constructions,D
St. Helena English,Deletion of it in non-referential it is-constructions,B
Tristan da Cunha English,Deletion of it in non-referential it is-constructions,C
Philippine English,Deletion of it in non-referential it is-constructions,D
Cape Flats English,Deletion of it in non-referential it is-constructions,D
Orkney and Shetland English,Regularization of plural formation: extension of -s to StE irregular plurals,D
Scottish English,Regularization of plural formation: extension of -s to StE irregular plurals,D
Irish English,Regularization of plural formation: extension of -s to StE irregular plurals,D
Manx English,Regularization of plural formation: extension of -s to StE irregular plurals,C
Welsh English,Regularization of plural formation: extension of -s to StE irregular plurals,C
English dialects in the North of England,Regularization of plural formation: extension of -s to StE irregular plurals,C
English dialects in the Southwest of England,Regularization of plural formation: extension of -s to StE irregular plurals,?
East Anglian English,Regularization of plural formation: extension of -s to StE irregular plurals,D
English dialects in the Southeast of England,Regularization of plural formation: extension of -s to StE irregular plurals,D
Channel Islands English,Regularization of plural formation: extension of -s to StE irregular plurals,D
British Creole,Regularization of plural formation: extension of -s to StE irregular plurals,D
Maltese English,Regularization of plural formation: extension of -s to StE irregular plurals,C
Newfoundland English,Regularization of plural formation: extension of -s to StE irregular plurals,?
Colloquial American English,Regularization of plural formation: extension of -s to StE irregular plurals,B
Urban African American Vernacular English,Regularization of plural formation: extension of -s to StE irregular plurals,A
Rural African American Vernacular English,Regularization of plural formation: extension of -s to StE irregular plurals,A
Earlier African American Vernacular English,Regularization of plural formation: extension of -s to StE irregular plurals,B
Ozark English,Regularization of plural formation: extension of -s to StE irregular plurals,B
Appalachian English,Regularization of plural formation: extension of -s to StE irregular plurals,B
Southeast American enclave dialects,Regularization of plural formation: extension of -s to StE irregular plurals,A
Gullah,Regularization of plural formation: extension of -s to StE irregular plurals,D
Chicano English,Regularization of plural formation: extension of -s to StE irregular plurals,?
Bahamian English,Regularization of plural formation: extension of -s to StE irregular plurals,B
Bahamian Creole,Regularization of plural formation: extension of -s to StE irregular plurals,C
Barbadian Creole (Bajan),Regularization of plural formation: extension of -s to StE irregular plurals,A
Jamaican English,Regularization of plural formation: extension of -s to StE irregular plurals,C
Jamaican Creole,Regularization of plural formation: extension of -s to StE irregular plurals,D
San Andrés Creole,Regularization of plural formation: extension of -s to StE irregular plurals,D
Belizean Creole,Regularization of plural formation: extension of -s to StE irregular plurals,D
Guyanese Creole (Creolese),Regularization of plural formation: extension of -s to StE irregular plurals,D
Eastern Maroon Creole,Regularization of plural formation: extension of -s to StE irregular plurals,X
Saramaccan,Regularization of plural formation: extension of -s to StE irregular plurals,X
Sranan,Regularization of plural formation: extension of -s to StE irregular plurals,D
Trinidadian Creole,Regularization of plural formation: extension of -s to StE irregular plurals,B
Vincentian Creole,Regularization of plural formation: extension of -s to StE irregular plurals,D
Krio (Sierra Leone Creole),Regularization of plural formation: extension of -s to StE irregular plurals,D
Liberian Settler English,Regularization of plural formation: extension of -s to StE irregular plurals,C
Vernacular Liberian English,Regularization of plural formation: extension of -s to StE irregular plurals,D
Ghanaian English,Regularization of plural formation: extension of -s to StE irregular plurals,D
Ghanaian Pidgin,Regularization of plural formation: extension of -s to StE irregular plurals,D
Nigerian English,Regularization of plural formation: extension of -s to StE irregular plurals,B
Nigerian Pidgin,Regularization of plural formation: extension of -s to StE irregular plurals,X
Cameroon English,Regularization of plural formation: extension of -s to StE irregular plurals,B
Cameroon Pidgin,Regularization of plural formation: extension of -s to StE irregular plurals,D
Tanzanian English,Regularization of plural formation: extension of -s to StE irregular plurals,B
Kenyan English,Regularization of plural formation: extension of -s to StE irregular plurals,B
Ugandan English,Regularization of plural formation: extension of -s to StE irregular plurals,C
White Zimbabwean English,Regularization of plural formation: extension of -s to StE irregular plurals,D
Black South African English,Regularization of plural formation: extension of -s to StE irregular plurals,B
